"date","week","light","area","plant","height","number_leaves"
"2021-05-13",4,"SH","19SH","219SH",6,7
"2021-05-13",4,"SH","19SH","319SH",6,7
"2021-05-13",4,"SH","20SH","120SH",7,6
"2021-05-13",4,"SH","20SH","220SH",6,6
"2021-05-13",4,"SH","20SH","320SH",6,7
"2021-05-13",4,"SH","21SH","121SH",5,6
"2021-05-13",4,"SH","21SH","221SH",7,6
"2021-05-13",4,"SH","21SH","321SH",6,7
"2021-05-13",4,"SH","22SH","122SH",6,6
"2021-05-13",4,"SH","22SH","222SH",7,6
"2021-05-13",4,"SH","22SH","322SH",6,7
"2021-05-13",4,"SH","23SH","123SH",7,7
"2021-05-13",4,"SH","23SH","223SH",5,7
"2021-05-13",4,"SH","23SH","323SH",7,6
"2021-05-13",4,"SH","24SH","124SH",6,6
"2021-05-13",4,"SH","24SH","224SH",6,6
"2021-05-13",4,"SH","24SH","324SH",7,7
"2021-05-20",5,"FL","1FL","11FL",7,10
"2021-05-20",5,"FL","1FL","21FL",9,8
"2021-05-20",5,"FL","1FL","31FL",8,9
"2021-05-20",5,"FL","2FL","12FL",7,8
"2021-05-20",5,"FL","2FL","22FL",9,7
"2021-05-20",5,"FL","2FL","32FL",8,8
"2021-05-20",5,"FL","3FL","13FL",10,8
"2021-05-20",5,"FL","3FL","23FL",8,10
"2021-05-20",5,"FL","3FL","33FL",8,9
"2021-05-20",5,"FL","4FL","14FL",10,10
"2021-05-20",5,"FL","4FL","24FL",9,7
"2021-05-20",5,"FL","4FL","34FL",9,7
"2021-05-20",5,"FL","5FL","15FL",8,8
"2021-05-20",5,"FL","5FL","25FL",7,9
"2021-05-20",5,"FL","5FL","35FL",7,10
"2021-05-20",5,"FL","6FL","16FL",8,11
"2021-05-20",5,"FL","6FL","26FL",8,9
"2021-05-20",5,"FL","6FL","36FL",7,7
"2021-05-20",5,"SH","1SH","11SH",8,8
"2021-05-20",5,"SH","1SH","21SH",9,9
"2021-05-20",5,"SH","1SH","31SH",8,9
"2021-05-20",5,"SH","2SH","12SH",8,8
"2021-05-20",5,"SH","2SH","22SH",7,10
"2021-05-20",5,"SH","2SH","32SH",8,10
"2021-05-20",5,"SH","3SH","13SH",7,10
"2021-05-20",5,"SH","3SH","23SH",9,9
"2021-05-20",5,"SH","3SH","33SH",7,8
"2021-05-20",5,"SH","4SH","14SH",10,9
"2021-05-20",5,"SH","4SH","24SH",8,9
"2021-05-20",5,"SH","4SH","34SH",8,9
"2021-05-20",5,"SH","5SH","15SH",9,10
"2021-05-20",5,"SH","5SH","25SH",10,9
"2021-05-20",5,"SH","5SH","35SH",8,11
"2021-05-20",5,"SH","6SH","16SH",9,9
"2021-05-20",5,"SH","6SH","26SH",9,9
"2021-05-20",5,"SH","6SH","36SH",8,11
"2021-05-20",5,"SH","7SH","17SH",9,10
"2021-05-20",5,"SH","7SH","27SH",10,12
"2021-05-20",5,"SH","7SH","37SH",11,12
"2021-05-20",5,"SH","8SH","18SH",9,10
"2021-05-20",5,"SH","8SH","28SH",10,9
"2021-05-20",5,"SH","8SH","38SH",8,9
"2021-05-20",5,"SH","9SH","19SH",10,8
"2021-05-20",5,"SH","9SH","29SH",7,9
"2021-05-20",5,"SH","9SH","39SH",8,8
"2021-05-20",5,"SH","10SH","110SH",8,11
"2021-05-20",5,"SH","10SH","210SH",9,9
"2021-05-20",5,"SH","10SH","310SH",9,9
"2021-05-20",5,"SH","11SH","111SH",8,8
"2021-05-20",5,"SH","11SH","211SH",8,9
"2021-05-20",5,"SH","11SH","311SH",9,9
"2021-05-20",5,"SH","12SH","112SH",7,10
"2021-05-20",5,"SH","12SH","212SH",8,8
"2021-05-20",5,"SH","12SH","312SH",8,8
"2021-05-20",5,"SH","13SH","113SH",7,12
"2021-05-20",5,"SH","13SH","213SH",8,9
"2021-05-20",5,"SH","13SH","313SH",10,9
"2021-05-20",5,"SH","14SH","114SH",8,11
"2021-05-20",5,"SH","14SH","214SH",8,9
"2021-05-20",5,"SH","14SH","314SH",9,7
"2021-05-20",5,"SH","15SH","115SH",9,9
"2021-05-20",5,"SH","15SH","215SH",8,9
"2021-05-20",5,"SH","15SH","315SH",8,8
"2021-05-20",5,"SH","16SH","116SH",9,7
"2021-05-20",5,"SH","16SH","216SH",9,9
"2021-05-20",5,"SH","16SH","316SH",8,9
"2021-05-20",5,"SH","17SH","117SH",8,11
"2021-05-20",5,"SH","17SH","217SH",7,8
"2021-05-20",5,"SH","17SH","317SH",7,9
"2021-05-20",5,"SH","18SH","118SH",8,10
"2021-05-20",5,"SH","18SH","218SH",10,10
"2021-05-20",5,"SH","18SH","318SH",9,9
"2021-05-20",5,"SH","19SH","119SH",10,9
"2021-05-20",5,"SH","19SH","219SH",9,10
"2021-05-20",5,"SH","19SH","319SH",7,9
"2021-05-20",5,"SH","20SH","120SH",10,10
"2021-05-20",5,"SH","20SH","220SH",10,9
"2021-05-20",5,"SH","20SH","320SH",9,9
"2021-05-20",5,"SH","21SH","121SH",8,11
"2021-05-20",5,"SH","21SH","221SH",11,8
"2021-05-20",5,"SH","21SH","321SH",10,8
"2021-05-20",5,"SH","22SH","122SH",8,9
